Modelo,Custo,Peso (g),Horas Produtivas
Rede 1 camada oculta,409884.5,2178283,2754.24
Rede 1 camada oculta,585582.2,1272685,3478.74
Rede 1 camada oculta,413155.9,937980,1641.63
Rede 1 camada oculta,476836.0,2258319,3865.51
Rede 1 camada oculta,509996.1,1178571,4963.01
Rede 1 camada oculta,387487.8,2892844,3001.75
Rede 1 camada oculta,107913.7,3067550,2521.46
Rede 1 camada oculta,164475.1,4969343,3804.03
Rede 1 camada oculta,164733.1,877378,3107.67
Rede 1 camada oculta,348087.0,2249419,2325.30
