Modelo,Custo,Peso (g),Horas Produtivas
Rede 1 camada oculta,405711.62,1133208.16,2024.58
Rede 1 camada oculta,411881.24,1174147.21,2187.04
Rede 1 camada oculta,438960.74,1308274.71,2210.43
Rede 1 camada oculta,452974.58,1366023.95,2239.36
Rede 1 camada oculta,458689.72,1366391.00,2330.06
Rede 1 camada oculta,476299.76,1443179.1,2377.98
Rede 1 camada oculta,477747.3,1562562.35,2482.1
Rede 1 camada oculta,507472.39,1582620.66,2620.5
Rede 1 camada oculta,528292.73,1719784.25,2641.35
Rede 1 camada oculta,558562.51,1898585.74,2648.00
