Modelo,Custo,Peso (g),Horas Produtivas
Rede 5 camadas ocultas,325043.8,1427015,3148.81
Rede 5 camadas ocultas,325043.8,1427015,3148.81
Rede 5 camadas ocultas,325043.8,1427015,3148.81
Rede 5 camadas ocultas,325043.8,1427015,3148.81
Rede 5 camadas ocultas,325043.8,1427015,3148.81
Rede 5 camadas ocultas,325043.8,1427015,3148.81
Rede 5 camadas ocultas,325043.8,1427015,3148.81
Rede 5 camadas ocultas,325043.8,1427015,3148.81
Rede 5 camadas ocultas,325043.8,1427015,3148.81
Rede 5 camadas ocultas,325043.8,1427015,3148.81
