Modelo,Custo,Peso (g),Horas Produtivas
Rede 5 camadas ocultas,252447.1,1014805,1333.63
Rede 5 camadas ocultas,292518.5,1091637,3160.50
Rede 5 camadas ocultas,325882.9,1279987,3310.69
Rede 5 camadas ocultas,350933.4,1434186,3313.69
Rede 5 camadas ocultas,354118.8,1554614,3516.42
Rede 5 camadas ocultas,354369.4,1569380,3539.01
Rede 5 camadas ocultas,355745.9,1570029,3540.94
Rede 5 camadas ocultas,359287.8,1577011,3543.69
Rede 5 camadas ocultas,366782.3,1593321,3546.64
Rede 5 camadas ocultas,462527.8,1633575,3821.19
